# name,r,g,b,h,s,v,H,L,S
black,0,0,0,0,0,0,0,0,0
maroon,128,0,0,0,255,128,0,64,255
darkred,139,0,0,0,255,139,0,69,255
brown,165,42,42,0,190,165,0,103,151
dimgray,105,105,105,0,0,105,0,105,0
dimgrey,105,105,105,0,0,105,0,105,0
firebrick,178,34,34,0,206,178,0,105,173
red,255,0,0,0,255,255,0,127,255
gray,128,128,128,0,0,128,0,128,0
grey,128,128,128,0,0,128,0,128,0
indianred,205,92,92,0,140,205,0,148,135
rosybrown,188,143,143,0,61,188,0,165,64
darkgray,169,169,169,0,0,169,0,169,0
darkgrey,169,169,169,0,0,169,0,169,0
lightcoral,240,128,128,0,119,240,0,184,201
silver,192,192,192,0,0,192,0,192,0
lightgray,211,211,211,0,0,211,0,211,0
lightgrey,211,211,211,0,0,211,0,211,0
gainsboro,220,220,220,0,0,220,0,220,0
whitesmoke,245,245,245,0,0,245,0,245,0
snow,255,250,250,0,5,255,0,252,255
white,255,255,255,0,0,255,0,255,0
salmon,250,128,114,4,138,250,4,182,237
mistyrose,255,228,225,4,30,255,4,240,255
tomato,255,99,71,6,184,255,6,163,255
darksalmon,233,150,122,10,121,233,10,177,182
orangered,255,69,0,11,255,255,11,127,255
coral,255,127,80,11,175,255,11,167,255
lightsalmon,255,160,122,12,132,255,12,188,255
sienna,160,82,45,13,183,160,13,102,143
saddlebrown,139,69,19,17,220,139,17,78,193
chocolate,210,105,30,17,218,210,17,120,191
seashell,255,245,238,17,16,255,17,246,255
sandybrown,244,164,96,19,154,244,19,170,222
peru,205,133,63,20,176,205,20,134,149
peachpuff,255,218,185,20,70,255,20,220,255
linen,250,240,230,21,20,250,21,240,170
darkorange,255,140,0,23,255,255,23,127,255
burlywood,222,184,135,23,99,222,23,178,145
bisque,255,228,196,23,58,255,23,225,255
tan,210,180,140,24,84,210,24,175,111
antiquewhite,250,235,215,24,35,250,24,232,198
navajowhite,255,222,173,25,81,255,25,214,255
blanchedalmond,255,235,205,25,49,255,25,230,255
moccasin,255,228,181,26,73,255,26,218,255
papayawhip,255,239,213,26,41,255,26,234,255
orange,255,165,0,27,255,255,27,127,255
wheat,245,222,179,27,68,245,27,211,195
oldlace,253,245,230,27,23,253,27,241,217
floralwhite,255,250,240,28,15,255,28,247,255
darkgoldenrod,184,134,11,30,239,184,30,97,226
goldenrod,218,165,32,30,217,218,30,125,189
cornsilk,255,248,220,33,34,255,33,237,255
gold,255,215,0,35,255,255,35,127,255
khaki,240,230,140,38,106,240,38,190,196
palegoldenrod,238,232,170,38,72,238,38,204,170
lemonchiffon,255,250,205,38,49,255,38,230,255
darkkhaki,189,183,107,39,110,189,39,148,97
olive,128,128,0,42,255,128,42,64,255
yellow,255,255,0,42,255,255,42,127,255
lightgoldenrodyellow,250,250,210,42,40,250,42,229,204
beige,245,245,220,42,26,245,42,232,141
lightyellow,255,255,224,42,31,255,42,239,255
ivory,255,255,240,42,15,255,42,247,255
olivedrab,107,142,35,56,192,142,56,88,154
yellowgreen,154,205,50,56,192,205,56,127,155
darkolivegreen,85,107,47,58,142,107,58,77,99
greenyellow,173,255,47,59,208,255,59,151,255
chartreuse,127,255,0,63,255,255,63,127,255
lawngreen,124,252,0,64,255,252,64,126,255
darkgreen,0,100,0,85,255,100,85,50,255
green,0,128,0,85,255,128,85,64,255
forestgreen,34,139,34,85,192,139,85,86,154
limegreen,50,205,50,85,192,205,85,127,155
lime,0,255,0,85,255,255,85,127,255
darkseagreen,143,188,143,85,61,188,85,165,64
lightgreen,144,238,144,85,100,238,85,191,187
palegreen,152,251,152,85,100,251,85,201,235
honeydew,240,255,240,85,15,255,85,247,255
seagreen,46,139,87,103,170,139,103,92,128
mediumseagreen,60,179,113,103,169,179,103,119,126
springgreen,0,255,127,106,255,255,106,127,255
mintcream,245,255,250,106,9,255,106,250,255
mediumspringgreen,0,250,154,111,255,250,111,125,255
mediumaquamarine,102,205,170,113,128,205,113,153,129
aquamarine,127,255,212,113,128,255,113,191,255
turquoise,64,224,208,123,182,224,123,144,183
lightseagreen,32,178,170,125,209,178,125,105,177
mediumturquoise,72,209,204,125,167,209,125,140,152
darkslategray,47,79,79,127,103,79,127,63,64
darkslategrey,47,79,79,127,103,79,127,63,64
teal,0,128,128,127,255,128,127,64,255
darkcyan,0,139,139,127,255,139,127,69,255
aqua,0,255,255,127,255,255,127,127,255
cyan,0,255,255,127,255,255,127,127,255
paleturquoise,175,238,238,127,67,238,127,206,165
lightcyan,224,255,255,127,31,255,127,239,255
azure,240,255,255,127,15,255,127,247,255
darkturquoise,0,206,209,128,255,209,128,104,255
cadetblue,95,158,160,128,103,160,128,127,65
powderblue,176,224,230,132,59,230,132,203,132
lightblue,173,216,230,137,63,230,137,201,135
deepskyblue,0,191,255,138,255,255,138,127,255
skyblue,135,206,235,139,108,235,139,185,182
lightskyblue,135,206,250,143,117,250,143,192,234
steelblue,70,130,180,146,155,180,146,125,112
aliceblue,240,248,255,147,15,255,147,247,255
slategray,112,128,144,148,56,144,148,128,32
slategrey,112,128,144,148,56,144,148,128,32
lightslategray,119,136,153,148,56,153,148,136,36
lightslategrey,119,136,153,148,56,153,148,136,36
dodgerblue,30,144,255,148,225,255,148,142,255
lightsteelblue,176,196,222,151,52,222,151,199,104
cornflowerblue,100,149,237,154,147,237,154,168,201
royalblue,65,105,225,159,181,225,159,145,185
navy,0,0,128,170,255,128,170,64,255
midnightblue,25,25,112,170,198,112,170,68,161
